"","fragment.ID.full","Intercept","umol.L.sec","Temp.C"
"852","BLANK6_L_32_O2",175.663588562939,-0.00185046025291569,31.9648571428571
"853","PA21_L_32_O2",171.675594468545,0.028411822450805,31.8417278106509
"854","PA22_L_32_O2",175.803885211028,0.022664200763967,32.0245952380952
"855","PA26_L_32_O2",177.610664295194,0.0171407599701573,32.0030178571429
"856","PA27_L_32_O2",179.328538856823,0.0270410061720022,32.0236568047337
"857","PA30_L_32_O2",180.660823103023,0.0418642132025953,31.9215357142857
"858","PA33_L_32_O2",174.138721354309,0.0391542759429354,32.0690892857143
"859","PA34_L_32_O2",202.12371473172,0.0388761773711453,32.0102958579882
"860","PA36_L_32_O2",169.117646714468,0.0213087079579225,31.9914226190476
"861","BLANK5_L_35_O2",164.191720424532,-0.0017521879977303,34.8351065088757
"862","BLANK6_L_35_O2",164.422148802002,-0.00169719111667189,34.9329940828402
"863","PA21_L_35_O2",145.654784075587,0.0162780286006129,34.7788639053254
"864","PA22_L_35_O2",150.029389098658,0.00920568490014443,34.9900946745562
"865","PA26_L_35_O2",149.755229684272,0.00925412535539843,34.9329230769231
"866","PA27_L_35_O2",147.190753678543,0.016910105755345,34.977325443787
"867","PA30_L_35_O2",152.939754694157,0.0251109693179598,34.8135147928994
"868","PA33_L_35_O2",157.715697949616,0.0257290734254992,35.0227692307692
"869","PA34_L_35_O2",174.902915320549,0.0248144666853303,35.0058284023669
"870","PA36_L_35_O2",138.801244634552,0.0167034795778777,34.9522721893491
"871","BLANK5_L_37_O2",145.542005937949,-0.00154258190956362,36.9202882352941
"872","BLANK6_L_37_O2",146.444069111728,-0.00147299791811243,36.9901117647059
"873","PA21_L_37_O2",132.323394804222,-0.0050447871978209,36.7277823529412
"874","PA22_L_37_O2",132.130203656511,-0.00187312822655246,36.9646117647059
"875","PA26_L_37_O2",133.483622392822,-0.00652132459763566,36.9885823529412
"876","PA27_L_37_O2",133.411654636423,0.0017864575466609,36.9557705882353
