date,site.name,site,site.block,num.transect ,quadrat,Bare rock,Rubble,Sand,Bare space,Acanthastrea,Acropora  other,Acropora  pulchra,Acropora hyacinthus,Acropora austera,Astreopora,Cyphastrea,Favia,Fungia,Gardineroseris,Heropolitha,Leptastrea,Leptoseris,Lobophyllia,Millepora,Montastraea,Montipora,Pachyseris,Pavona,Pleuractis ,Pocillopora other,Pocillopora.acuta,Pocillopora meandrina,Pocillopora verrucosa,Porites other,Porites lobata,Porites rus,Psammacora,Sandolitha,Stylocoeniella,Tubastrea,CCA,Fleshy algae,Turf algae,Macroalgae,coral.cover,algal.cover,TOTALS
20190624,AH,A,1,1,3,,0.2,,,,,,,,,,0.1,,,,,,,,,,,,,,0.1,,,,,,,,,,0.4,,,0.2,0.2,0.2,1
20190624,AH,A,1,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,0.1,,0.8,,0.1,0.8,1
20190624,AH,A,1,1,5,,0.8,,,,,,,,,,0.08,,,,,,,,,,,,,,0.02,,,,,,,,,,0.1,,,,0.1,0,1
20190624,AH,A,1,1,6,,0.05,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,0.05,0.9,1
20190624,AH,A,1,1,7,,,,,,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,0.75,0.06,0.15,0.81,1
20190624,AH,A,1,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,1,1
20190624,AH,A,1,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,0.9,,0.1,0.9,1
20190624,AH,A,1,1,10,,0.8,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0,0.1,1
20190624,AH,A,1,1,11,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,0,0.9,1
20190624,AH,A,1,1,12,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1
20190624,AH,A,1,1,13,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1
20190624,AH,A,1,1,14,,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1
20190624,AH,A,1,1,15,,0.6,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,0.2,,,,,,0.1,,,,0.3,0,1
20190624,AH,A,1,1,16,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,0,0.8,1
20190624,AH,A,1,1,17,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.1,0,0.6,1
