"","fragment.ID","site","rate.type","E","Eh","lnc","Th","Topt","site.block","recovery.block","site.letter","Pmax"
"41","PA22_D","B","R",0.16220658455449,3.2197804957662,0.384132088000599,314.989484785175,34.2278051791112,2,1,"D",0.500818023935337
"42","PA22_L","B","GP",0.248634977041485,2.73667630516863,0.736049321308073,310.284277834944,30.3033532455586,2,1,"D",0.777536363242261
"43","PA23_C","B","C",0.348508492283878,1.18769016985509,0.50959231494774,307.43916384324,28.3767916328944,2,2,"D",0.268786415821445
"44","PA23_D","B","R",0.167880640049232,1.94300718939357,0.427739070840843,316.398047309461,33.1096554416218,2,2,"D",0.488508239996852
"45","PA23_L","B","GP",0.270929470283053,3.67786547734452,0.896276861477723,309.560146499359,30.8265941942223,2,2,"D",0.98658246793102
"46","PA25_C","B","C",0.0688540422627624,79.4181418048746,0.180826847271046,310.270780929805,36.3859193501732,2,2,"D",0.269551042297897
"47","PA25_D","B","R",0.170649710075046,1.99448840806811,0.478174199237971,315.580716502421,32.5527767616149,2,2,"D",0.530582010630519
"48","PA25_L","B","GP",0.195297936716324,4.48074737555457,0.82168267304071,310.035345104907,31.2775369559739,2,2,"D",0.908413413108591
"49","PA26_C","B","C",0.179524505518138,2.14192733551855,0.172627316343102,312.701081013614,30.4147015268014,2,1,"D",0.186336847281824
"50","PA26_D","B","R",0.131890520866899,1.89594444052608,0.382823547324943,317.48015989454,32.8744124870838,2,1,"D",0.425614832548612
"51","PA26_L","B","GP",0.183422441422211,4.590734822365,0.63949765299102,310.249235793693,31.4576867099205,2,1,"D",0.726167950121326
"52","PA27_C","B","C",0.157961878305409,4.41709530223064,0.226226236332761,311.358774112727,32.0983669336683,2,1,"D",0.312191271677501
"53","PA27_D","B","R",0.155734020984125,2.24336299946689,0.376739601369371,316.952522521128,34.0901905134789,2,1,"D",0.463818415386551
"54","PA27_L","B","GP",0.348152567857879,2.58288059654874,0.843717472866066,309.168342255606,30.1989910988717,2,1,"D",0.885817272274238
"55","PA29_C","A","C",0.331592756000397,1.91833578891821,0.508471752732359,308.374413133146,28.6768370260627,2,2,"C",0.432741332130345
"56","PA29_D","A","R",0.242761760971768,1.98729343969599,0.461237305546279,314.40519668125,33.0206282223428,2,2,"C",0.546821883995486
"57","PA29_L","A","GP",0.391124773668855,2.54940294112254,1.19144595007251,308.116569005412,29.5796958501332,2,2,"C",1.20425114180344
"58","PA3_C","A","C",0.215098218788858,1.72527185746284,0.314439907666071,310.877849092241,28.5937843085829,1,2,"F",0.252982699809759
"59","PA3_D","A","R",0.142813259934151,86.8453061761419,0.609075459056909,310.366906654627,36.6053663221967,1,2,"F",0.797047445995241
"60","PA3_L","A","GP",0.388450735111438,3.66735261646322,1.09826142317218,308.763816140231,30.9067921458168,1,2,"F",1.2293986480032
"61","PA30_C","A","C",0.122622558623056,10.2483716725162,0.194870569120816,310.653983153337,33.9621211327981,2,1,"C",0.306117109059032
"62","PA30_D","A","R",0.159927414059587,2.23650862773178,0.386416086471315,316.734057215119,33.9719338725093,2,1,"C",0.473205786071508
"63","PA30_L","A","GP",0.232223844650861,4.30052535408941,1.00706147166243,309.07996174955,30.5428637511557,2,1,"C",1.08626168116649
"64","PA31_C","A","C",0.477152272324008,1.20300457364434,0.705456087636236,303.815666853384,27.9161567275192,2,2,"C",0.317993803782069
"65","PA31_D","A","R",0.202017103164973,1.71914109121355,0.469177247206143,315.9274681593,32.9993724722664,2,2,"C",0.523277953905931
"66","PA31_L","A","GP",0.3589678279266,2.5538480455707,1.09315998360103,308.654805817636,29.7903241055975,2,2,"C",1.11585826993445
"67","PA32_C","A","C",0.159096187860421,2.18863096981056,0.375079055667424,313.780170408247,31.0582595752566,2,2,"C",0.402196733348662
"68","PA32_D","A","R",0.254999416346057,1.47838695180493,0.668186878138904,314.014949783528,32.1008952064979,2,2,"C",0.676501094571775
"69","PA32_L","A","GP",0.233616326249477,2.54228281127811,1.13431923304652,309.416977958267,29.0053397547105,2,2,"C",1.12803631496662
"70","PA33_C","A","C",0.254605988223988,1.22858550606545,0.324361882221903,311.029576687877,29.0321083559918,2,1,"C",0.191204767692583
"71","PA33_D","A","R",0.101894730515702,2.43321711922652,0.321759679361936,317.82463024375,33.8543717717871,2,1,"C",0.3800743292371
"72","PA33_L","A","GP",0.231770690640106,3.02744761748302,0.770628138810504,310.160992609167,30.3372155665192,2,1,"C",0.819432141443875
"73","PA34_C","A","C",0.493719995939023,1.52042776538672,0.588409590515494,305.585834738971,28.6082014105501,2,1,"C",0.361263205473524
"74","PA34_D","A","R",0.117530540912049,2.15870596765299,0.316305213389603,318.060798653574,33.782977691475,2,1,"C",0.37589517378014
"75","PA34_L","A","GP",0.296231120968653,2.70651681793185,1.03162809937261,308.335330663407,28.9657769665974,2,1,"C",1.02848242006616
"76","PA35_C","A","C",0.507318039253887,1.04207621302962,0.842842070511076,301.994353786865,28.447480860809,2,2,"C",0.335338807309119
"77","PA35_D","A","R",0.171760435703211,1.4156272954925,0.455023052210467,317.84922625455,32.9689437165004,2,2,"C",0.477311714563754
"78","PA35_L","A","GP",0.241582019843584,2.5211959445916,1.05603861040927,309.230778601852,28.9125797753139,2,2,"C",1.04564492083504
"79","PA36_C","A","C",0.395228150822649,1.31427201104132,0.466024923095167,306.846632793595,28.5724237379687,2,1,"C",0.238993780299799
"80","PA36_D","A","R",0.148350261133346,2.21284968387506,0.343328238756032,316.397897830397,33.3026806999703,2,1,"C",0.411026517509354
"81","PA36_L","A","GP",0.237130156164704,2.79050022328442,0.792382420445875,309.866440176642,29.8242960647194,2,1,"C",0.819649974200731
"82","PA37_C","A","C",0.594965332175614,1.27595220930663,0.815205676642873,301.934625137464,27.9552210665681,3,1,"B",0.337121798833096
"83","PA37_D","A","R",0.185161877582458,2.15734420235759,0.549741770519597,315.310947677036,33.0352825626529,3,1,"B",0.624992617710879
"84","PA37_L","A","GP",0.464178710779694,3.30341000356996,1.21787884894471,307.547331186666,29.991527036199,3,1,"B",1.3034756096338
