"","individual.ID","temp.Cat","site","Temp.C","umol.cm2.hr","rate.type","light_dark","fragment.ID","site.block","recovery.block","site.letter"
"50","PA13",35,"B",35.01483673,0.563829034,"R","dark","PA13_D",1,2,"E"
"51","PA14",35,"B",34.80044898,0.620999015,"R","dark","PA14_D",1,2,"E"
"52","PA16",35,"B",34.88313158,0.52824606,"R","dark","PA16_D",1,2,"E"
"53","PA2",35,"A",34.97332653,0.839983806,"R","dark","PA2_D",1,2,"F"
"54","PA3",35,"A",34.99491837,1.171835226,"R","dark","PA3_D",1,2,"F"
"55","PA4",35,"A",35.20104082,0.488008773,"R","dark","PA4_D",1,2,"F"
"56","PA8",35,"A",35.15008163,0.618353391,"R","dark","PA8_D",1,2,"F"
"57","PA12",36,"B",35.6794898,0.661336664,"R","dark","PA12_D",1,2,"E"
"58","PA13",36,"B",35.77489796,0.63597499,"R","dark","PA13_D",1,2,"E"
"59","PA14",36,"B",35.59146939,0.598650225,"R","dark","PA14_D",1,2,"E"
"60","PA16",36,"B",35.58028571,0.482212981,"R","dark","PA16_D",1,2,"E"
"61","PA2",36,"A",35.60618367,0.813176042,"R","dark","PA2_D",1,2,"F"
"62","PA3",36,"A",35.69236735,1.156545708,"R","dark","PA3_D",1,2,"F"
"63","PA4",36,"A",35.89497959,0.46787121,"R","dark","PA4_D",1,2,"F"
"64","PA8",36,"A",35.82357143,0.668336145,"R","dark","PA8_D",1,2,"F"
"65","PA12",37,"B",36.89930263,0.548355217,"R","dark","PA12_D",1,2,"E"
"66","PA13",37,"B",37.00217105,0.454831243,"R","dark","PA13_D",1,2,"E"
"67","PA14",37,"B",36.76514667,0.45859304,"R","dark","PA14_D",1,2,"E"
"68","PA16",37,"B",36.82774667,0.438882131,"R","dark","PA16_D",1,2,"E"
"69","PA2",37,"A",36.80673333,1.043725724,"R","dark","PA2_D",1,2,"F"
"70","PA3",37,"A",37.05530667,0.863594779,"R","dark","PA3_D",1,2,"F"
"71","PA4",37,"A",37.03093333,0.394549911,"R","dark","PA4_D",1,2,"F"
"72","PA8",37,"A",37.07815789,0.53132244,"R","dark","PA8_D",1,2,"F"
"73","PA1",20,"A",20.05264706,0.47726964,"R","dark","PA1_D",1,1,"F"
"74","PA10",20,"B",20.10456863,0.258348437,"R","dark","PA10_D",1,1,"E"
"75","PA11",20,"B",19.92066667,0.215407665,"R","dark","PA11_D",1,1,"E"
"76","PA17",20,"B",20.03537255,0.305284584,"R","dark","PA17_D",1,1,"E"
"77","PA18",20,"B",20.15972549,0.191137424,"R","dark","PA18_D",1,1,"E"
"78","PA5",20,"A",20.07582353,0.413500379,"R","dark","PA5_D",1,1,"F"
"79","PA7",20,"A",20.17907843,0.447963343,"R","dark","PA7_D",1,1,"F"
"80","PA9",20,"A",20.0512549,0.277928489,"R","dark","PA9_D",1,1,"F"
"81","PA1",24,"A",23.94309434,0.549769336,"R","dark","PA1_D",1,1,"F"
"82","PA10",24,"B",24.11309259,0.362493165,"R","dark","PA10_D",1,1,"E"
"83","PA11",24,"B",24.02803704,0.297008034,"R","dark","PA11_D",1,1,"E"
"84","PA17",24,"B",24.05681481,0.362352865,"R","dark","PA17_D",1,1,"E"
"85","PA18",24,"B",24.05886792,0.24522477,"R","dark","PA18_D",1,1,"E"
"86","PA5",24,"A",23.99368519,0.436409736,"R","dark","PA5_D",1,1,"F"
"87","PA7",24,"A",24.03739623,0.506264918,"R","dark","PA7_D",1,1,"F"
"88","PA9",24,"A",24.16168519,0.353136045,"R","dark","PA9_D",1,1,"F"
"89","PA1",28,"A",27.78253846,0.662855016,"R","dark","PA1_D",1,1,"F"
"90","PA10",28,"B",27.95769231,0.414375083,"R","dark","PA10_D",1,1,"E"
"91","PA11",28,"B",27.78119231,0.365972485,"R","dark","PA11_D",1,1,"E"
"92","PA17",28,"B",27.83378846,0.399274058,"R","dark","PA17_D",1,1,"E"
"93","PA18",28,"B",27.97001923,0.309809298,"R","dark","PA18_D",1,1,"E"
"94","PA5",28,"A",27.84569231,0.495680697,"R","dark","PA5_D",1,1,"F"
"95","PA7",28,"A",27.93388462,0.609823121,"R","dark","PA7_D",1,1,"F"
"96","PA9",28,"A",27.98113462,0.425464845,"R","dark","PA9_D",1,1,"F"
"97","PA21",20,"B",20.15478,0.347101685,"R","dark","PA21_D",2,1,"D"
"98","PA22",20,"B",20.16532,0.287021724,"R","dark","PA22_D",2,1,"D"
"99","PA26",20,"B",20.19396,0.309393328,"R","dark","PA26_D",2,1,"D"
"100","PA27",20,"B",20.16884,0.285399981,"R","dark","PA27_D",2,1,"D"
"101","PA30",20,"A",20.2204,0.305877158,"R","dark","PA30_D",2,1,"C"
"102","PA33",20,"A",20.13592,0.293037409,"R","dark","PA33_D",2,1,"C"
"103","PA34",20,"A",20.04792,0.242945806,"R","dark","PA34_D",2,1,"C"
"104","PA36",20,"A",20.28738,0.25483389,"R","dark","PA36_D",2,1,"C"
"105","PA21",24,"B",24.29855102,0.399537532,"R","dark","PA21_D",2,1,"D"
"106","PA22",24,"B",24.1857551,0.378437909,"R","dark","PA22_D",2,1,"D"
"107","PA26",24,"B",24.13165306,0.38067332,"R","dark","PA26_D",2,1,"D"
"108","PA27",24,"B",24.1014898,0.338321662,"R","dark","PA27_D",2,1,"D"
"109","PA30",24,"A",24.22353061,0.350112317,"R","dark","PA30_D",2,1,"C"
"110","PA33",24,"A",24.3344898,0.280189975,"R","dark","PA33_D",2,1,"C"
"111","PA34",24,"A",24.21163265,0.298321032,"R","dark","PA34_D",2,1,"C"
"112","PA36",24,"A",24.33638776,0.309624487,"R","dark","PA36_D",2,1,"C"
"113","PA21",28,"B",28.2096,0.474843709,"R","dark","PA21_D",2,1,"D"
"114","PA22",28,"B",27.91412,0.474215084,"R","dark","PA22_D",2,1,"D"
"115","PA26",28,"B",27.93016,0.455932817,"R","dark","PA26_D",2,1,"D"
"116","PA27",28,"B",28.008,0.504653047,"R","dark","PA27_D",2,1,"D"
"117","PA30",28,"A",27.97638,0.46573879,"R","dark","PA30_D",2,1,"C"
"118","PA33",28,"A",28.2557,0.383630166,"R","dark","PA33_D",2,1,"C"
"119","PA34",28,"A",28.12614,0.386349188,"R","dark","PA34_D",2,1,"C"
"120","PA36",28,"A",28.25014,0.424741958,"R","dark","PA36_D",2,1,"C"
"121","PA21",30,"B",30.3385,0.518875778,"R","dark","PA21_D",2,1,"D"
"122","PA22",30,"B",29.87498,0.547566946,"R","dark","PA22_D",2,1,"D"
"123","PA26",30,"B",29.97152,0.489537794,"R","dark","PA26_D",2,1,"D"
"124","PA27",30,"B",29.91548,0.512496088,"R","dark","PA27_D",2,1,"D"
"125","PA30",30,"A",29.97252,0.523938566,"R","dark","PA30_D",2,1,"C"
"126","PA33",30,"A",30.3714,0.416324223,"R","dark","PA33_D",2,1,"C"
"127","PA34",30,"A",30.04572,0.410055161,"R","dark","PA34_D",2,1,"C"
"128","PA36",30,"A",30.01612,0.445122355,"R","dark","PA36_D",2,1,"C"
"129","PA21",31,"B",31.20328,0.517977513,"R","dark","PA21_D",2,1,"D"
"130","PA22",31,"B",31.04894,0.576974728,"R","dark","PA22_D",2,1,"D"
"131","PA26",31,"B",31.20568,0.505563941,"R","dark","PA26_D",2,1,"D"
"132","PA27",31,"B",31.2857,0.536325061,"R","dark","PA27_D",2,1,"D"
"133","PA30",31,"A",31.16784,0.568425488,"R","dark","PA30_D",2,1,"C"
"134","PA33",31,"A",31.32956,0.439422401,"R","dark","PA33_D",2,1,"C"
"135","PA34",31,"A",30.96708,0.41610786,"R","dark","PA34_D",2,1,"C"
"136","PA36",31,"A",31.28202,0.47649491,"R","dark","PA36_D",2,1,"C"
"137","PA21",32,"B",31.99644,0.518252708,"R","dark","PA21_D",2,1,"D"
"138","PA22",32,"B",31.76492,0.595771609,"R","dark","PA22_D",2,1,"D"
"139","PA26",32,"B",31.85066,0.487851171,"R","dark","PA26_D",2,1,"D"
"140","PA27",32,"B",31.9528,0.527611947,"R","dark","PA27_D",2,1,"D"
"141","PA30",32,"A",31.91164,0.57131611,"R","dark","PA30_D",2,1,"C"
"142","PA33",32,"A",31.9887,0.465369134,"R","dark","PA33_D",2,1,"C"
"143","PA34",32,"A",31.82342,0.416031097,"R","dark","PA34_D",2,1,"C"
"144","PA36",32,"A",31.94222,0.48122503,"R","dark","PA36_D",2,1,"C"
"145","PA21",35,"B",34.99292308,0.567440772,"R","dark","PA21_D",2,1,"D"
"146","PA22",35,"B",34.70840385,0.680438196,"R","dark","PA22_D",2,1,"D"
"147","PA26",35,"B",34.72525,0.571077527,"R","dark","PA26_D",2,1,"D"
"148","PA27",35,"B",34.97476923,0.609638846,"R","dark","PA27_D",2,1,"D"
"149","PA30",35,"A",34.9515,0.67421819,"R","dark","PA30_D",2,1,"C"
"150","PA33",35,"A",34.97775,0.531153654,"R","dark","PA33_D",2,1,"C"
"151","PA34",35,"A",34.78163462,0.516652351,"R","dark","PA34_D",2,1,"C"
"152","PA36",35,"A",34.94688462,0.592538792,"R","dark","PA36_D",2,1,"C"
"153","PA21",36,"B",35.87658,0.434725628,"R","dark","PA21_D",2,1,"D"
"154","PA22",36,"B",35.55926,0.637858273,"R","dark","PA22_D",2,1,"D"
"155","PA26",36,"B",35.83786,0.499629708,"R","dark","PA26_D",2,1,"D"
"156","PA27",36,"B",35.7903,0.510976493,"R","dark","PA27_D",2,1,"D"
"157","PA30",36,"A",35.79326,0.576532331,"R","dark","PA30_D",2,1,"C"
"158","PA33",36,"A",35.86662,0.413503538,"R","dark","PA33_D",2,1,"C"
"159","PA34",36,"A",35.4963,0.426786007,"R","dark","PA34_D",2,1,"C"
"160","PA36",36,"A",35.66838,0.414653428,"R","dark","PA36_D",2,1,"C"
"161","PA21",37,"B",36.52795918,0.340634979,"R","dark","PA21_D",2,1,"D"
"162","PA22",37,"B",36.44187755,0.521700376,"R","dark","PA22_D",2,1,"D"
"163","PA26",37,"B",36.6357551,0.395578597,"R","dark","PA26_D",2,1,"D"
"164","PA27",37,"B",36.61583673,0.596528589,"R","dark","PA27_D",2,1,"D"
"165","PA30",37,"A",36.65157143,0.469189359,"R","dark","PA30_D",2,1,"C"
"166","PA33",37,"A",36.69902041,0.360791109,"R","dark","PA33_D",2,1,"C"
"167","PA34",37,"A",36.40310204,0.366070481,"R","dark","PA34_D",2,1,"C"
"168","PA36",37,"A",36.58902041,0.378770269,"R","dark","PA36_D",2,1,"C"
"169","PA21",38,"B",38.4057,0.326954258,"R","dark","PA21_D",2,1,"D"
"170","PA22",38,"B",38.1522,0.465934398,"R","dark","PA22_D",2,1,"D"
"171","PA26",38,"B",38.30534,0.384403232,"R","dark","PA26_D",2,1,"D"
"172","PA27",38,"B",38.13848,0.401862317,"R","dark","PA27_D",2,1,"D"
"173","PA30",38,"A",38.02830612,0.438577022,"R","dark","PA30_D",2,1,"C"
"174","PA33",38,"A",38.36704082,0.343350298,"R","dark","PA33_D",2,1,"C"
"175","PA34",38,"A",37.85987755,0.358773191,"R","dark","PA34_D",2,1,"C"
"176","PA36",38,"A",38.24104,0.359631444,"R","dark","PA36_D",2,1,"C"
"177","PA21",39,"B",39.194,0.344645902,"R","dark","PA21_D",2,1,"D"
"178","PA22",39,"B",38.91247059,0.428159802,"R","dark","PA22_D",2,1,"D"
"179","PA26",39,"B",39.17313725,0.385646283,"R","dark","PA26_D",2,1,"D"
"180","PA27",39,"B",39.22521569,0.461439378,"R","dark","PA27_D",2,1,"D"
"181","PA30",39,"A",39.25354902,0.469145864,"R","dark","PA30_D",2,1,"C"
"182","PA33",39,"A",39.18119608,0.365452575,"R","dark","PA33_D",2,1,"C"
"183","PA34",39,"A",38.85872549,0.365999787,"R","dark","PA34_D",2,1,"C"
"184","PA36",39,"A",38.9657451,0.349547798,"R","dark","PA36_D",2,1,"C"
"185","PA1",30,"A",29.69217647,0.74776123,"R","dark","PA1_D",1,1,"F"
"186","PA10",30,"B",29.94564706,0.478168558,"R","dark","PA10_D",1,1,"E"
"187","PA11",30,"B",29.73227451,0.397147733,"R","dark","PA11_D",1,1,"E"
"188","PA17",30,"B",29.91686275,0.461030182,"R","dark","PA17_D",1,1,"E"
"189","PA18",30,"B",29.90366667,0.347439357,"R","dark","PA18_D",1,1,"E"
"190","PA5",30,"A",29.91623529,0.581793308,"R","dark","PA5_D",1,1,"F"
"191","PA7",30,"A",29.88382353,0.600949528,"R","dark","PA7_D",1,1,"F"
"192","PA9",30,"A",29.92523529,0.455516828,"R","dark","PA9_D",1,1,"F"
"193","PA1",31,"A",30.69484,0.80279509,"R","dark","PA1_D",1,1,"F"
"194","PA10",31,"B",31.00364,0.458415632,"R","dark","PA10_D",1,1,"E"
"195","PA11",31,"B",30.66804,0.481046756,"R","dark","PA11_D",1,1,"E"
"196","PA17",31,"B",30.83758,0.485631773,"R","dark","PA17_D",1,1,"E"
"197","PA18",31,"B",30.8624,0.376662238,"R","dark","PA18_D",1,1,"E"
"198","PA5",31,"A",30.8151,0.59512272,"R","dark","PA5_D",1,1,"F"
"199","PA7",31,"A",30.83028,0.655549634,"R","dark","PA7_D",1,1,"F"
"200","PA9",31,"A",30.90862,0.49630478,"R","dark","PA9_D",1,1,"F"
"201","PA1",32,"A",31.68907843,0.722844092,"R","dark","PA1_D",1,1,"F"
"202","PA10",32,"B",31.7914902,0.526558759,"R","dark","PA10_D",1,1,"E"
"203","PA11",32,"B",31.58727451,0.490758199,"R","dark","PA11_D",1,1,"E"
"204","PA17",32,"B",31.8562549,0.522161106,"R","dark","PA17_D",1,1,"E"
"205","PA18",32,"B",31.90543137,0.378055765,"R","dark","PA18_D",1,1,"E"
"206","PA5",32,"A",31.70792157,0.593394001,"R","dark","PA5_D",1,1,"F"
"207","PA7",32,"A",31.81964706,0.668962763,"R","dark","PA7_D",1,1,"F"
"208","PA9",32,"A",31.72207843,0.525888545,"R","dark","PA9_D",1,1,"F"
"209","PA1",35,"A",34.63938776,0.902933858,"R","dark","PA1_D",1,1,"F"
"210","PA10",35,"B",34.72469388,0.623054847,"R","dark","PA10_D",1,1,"E"
"211","PA11",35,"B",34.58326531,0.56554482,"R","dark","PA11_D",1,1,"E"
"212","PA17",35,"B",34.71069388,0.617533681,"R","dark","PA17_D",1,1,"E"
"213","PA18",35,"B",34.85273469,0.421207347,"R","dark","PA18_D",1,1,"E"
"214","PA5",35,"A",34.73285714,0.760591603,"R","dark","PA5_D",1,1,"F"
"215","PA7",35,"A",34.86487755,0.78769502,"R","dark","PA7_D",1,1,"F"
"216","PA9",35,"A",34.73702041,0.593730115,"R","dark","PA9_D",1,1,"F"
"217","PA1",39,"A",38.9058,0.637972021,"R","dark","PA1_D",1,1,"F"
"218","PA10",39,"B",38.93908,0.481147849,"R","dark","PA10_D",1,1,"E"
"219","PA11",39,"B",38.95236,0.460638871,"R","dark","PA11_D",1,1,"E"
"220","PA17",39,"B",39.12216,0.454205888,"R","dark","PA17_D",1,1,"E"
"221","PA18",39,"B",39.0847,0.263521441,"R","dark","PA18_D",1,1,"E"
"222","PA5",39,"A",38.91492,0.518326906,"R","dark","PA5_D",1,1,"F"
"223","PA7",39,"A",39.01084,0.530662711,"R","dark","PA7_D",1,1,"F"
"224","PA9",39,"A",39.07954,0.466386097,"R","dark","PA9_D",1,1,"F"
"225","PA19",20,"B",20.048,0.347811405,"R","dark","PA19_D",2,2,"D"
"226","PA20",20,"B",20.02704082,0.355418426,"R","dark","PA20_D",2,2,"D"
"227","PA23",20,"B",20.19836735,0.334463081,"R","dark","PA23_D",2,2,"D"
"228","PA25",20,"B",20.04830612,0.399993416,"R","dark","PA25_D",2,2,"D"
"229","PA29",20,"A",20.03569388,0.283835601,"R","dark","PA29_D",2,2,"C"
"230","PA31",20,"A",20.17189796,0.344074953,"R","dark","PA31_D",2,2,"C"
"231","PA32",20,"A",20.03732653,0.516406807,"R","dark","PA32_D",2,2,"C"
"232","PA35",20,"A",20.12353061,0.354917235,"R","dark","PA35_D",2,2,"C"
"233","PA19",24,"B",23.65065306,0.44388157,"R","dark","PA19_D",2,2,"D"
"234","PA20",24,"B",24.34567347,0.486575054,"R","dark","PA20_D",2,2,"D"
"235","PA23",24,"B",24.0165102,0.417705679,"R","dark","PA23_D",2,2,"D"
"236","PA25",24,"B",24.42393878,0.489565082,"R","dark","PA25_D",2,2,"D"
"237","PA29",24,"A",24.14516327,0.411907342,"R","dark","PA29_D",2,2,"C"
"238","PA31",24,"A",24.00614286,0.439660242,"R","dark","PA31_D",2,2,"C"
"239","PA32",24,"A",24.01810204,0.72418427,"R","dark","PA32_D",2,2,"C"
"240","PA35",24,"A",24.28514286,0.411098262,"R","dark","PA35_D",2,2,"C"
"241","PA19",28,"B",27.79206122,0.545696867,"R","dark","PA19_D",2,2,"D"
"242","PA20",28,"B",28.00426531,0.574529748,"R","dark","PA20_D",2,2,"D"
"243","PA23",28,"B",27.94738776,0.509522235,"R","dark","PA23_D",2,2,"D"
"244","PA25",28,"B",28.04969388,0.600618258,"R","dark","PA25_D",2,2,"D"
"245","PA29",28,"A",28.09777551,0.599181532,"R","dark","PA29_D",2,2,"C"
"246","PA31",28,"A",27.92385714,0.567094304,"R","dark","PA31_D",2,2,"C"
"247","PA32",28,"A",27.98079592,0.853129196,"R","dark","PA32_D",2,2,"C"
"248","PA35",28,"A",28.04385714,0.546685635,"R","dark","PA35_D",2,2,"C"
"249","PA19",30,"B",29.7675102,0.582857296,"R","dark","PA19_D",2,2,"D"
"250","PA20",30,"B",29.96014286,0.593634704,"R","dark","PA20_D",2,2,"D"
"251","PA23",30,"B",29.90289796,0.56418042,"R","dark","PA23_D",2,2,"D"
"252","PA25",30,"B",30.02918367,0.649622357,"R","dark","PA25_D",2,2,"D"
"253","PA29",30,"A",29.99914286,0.633958213,"R","dark","PA29_D",2,2,"C"
"254","PA31",30,"A",29.87036735,0.615277561,"R","dark","PA31_D",2,2,"C"
"255","PA32",30,"A",29.92806122,0.875662294,"R","dark","PA32_D",2,2,"C"
"256","PA35",30,"A",29.97985714,0.550733353,"R","dark","PA35_D",2,2,"C"
"257","PA19",31,"B",30.70867347,0.586086275,"R","dark","PA19_D",2,2,"D"
"258","PA20",31,"B",30.8647,0.607607312,"R","dark","PA20_D",2,2,"D"
"259","PA23",31,"B",30.89852,0.588106826,"R","dark","PA23_D",2,2,"D"
"260","PA25",31,"B",30.89784,0.620570839,"R","dark","PA25_D",2,2,"D"
"261","PA29",31,"A",30.87338,0.665776947,"R","dark","PA29_D",2,2,"C"
"262","PA31",31,"A",30.75814,0.629962385,"R","dark","PA31_D",2,2,"C"
"263","PA32",31,"A",30.83526,0.870220783,"R","dark","PA32_D",2,2,"C"
"264","PA35",31,"A",30.94914,0.572614192,"R","dark","PA35_D",2,2,"C"
"265","PA19",32,"B",31.79810204,0.597997086,"R","dark","PA19_D",2,2,"D"
"266","PA20",32,"B",31.92320408,0.636723689,"R","dark","PA20_D",2,2,"D"
"267","PA23",32,"B",31.97571429,0.57994475,"R","dark","PA23_D",2,2,"D"
"268","PA25",32,"B",32.06397959,0.649037847,"R","dark","PA25_D",2,2,"D"
"269","PA29",32,"A",32.03477551,0.657860023,"R","dark","PA29_D",2,2,"C"
"270","PA31",32,"A",31.86640816,0.628365869,"R","dark","PA31_D",2,2,"C"
"271","PA32",32,"A",31.89142857,0.882470885,"R","dark","PA32_D",2,2,"C"
"272","PA35",32,"A",32.038,0.583574732,"R","dark","PA35_D",2,2,"C"
"273","PA19",35,"B",34.73572549,0.694592468,"R","dark","PA19_D",2,2,"D"
"274","PA20",35,"B",35.01941176,0.76249036,"R","dark","PA20_D",2,2,"D"
"275","PA23",35,"B",35.11209804,0.701480551,"R","dark","PA23_D",2,2,"D"
"276","PA25",35,"B",35.18629412,0.84523863,"R","dark","PA25_D",2,2,"D"
"277","PA29",35,"A",35.10415686,0.748325043,"R","dark","PA29_D",2,2,"C"
"278","PA31",35,"A",34.80321569,0.752042009,"R","dark","PA31_D",2,2,"C"
"279","PA32",35,"A",34.91486275,1.015509773,"R","dark","PA32_D",2,2,"C"
"280","PA35",35,"A",35.17739216,0.665333141,"R","dark","PA35_D",2,2,"C"
"281","PA19",36,"B",35.80262,0.59963435,"R","dark","PA19_D",2,2,"D"
"282","PA20",36,"B",35.96202,0.637813434,"R","dark","PA20_D",2,2,"D"
"283","PA23",36,"B",36.06802,0.599914805,"R","dark","PA23_D",2,2,"D"
"284","PA25",36,"B",35.82484,0.640756692,"R","dark","PA25_D",2,2,"D"
"285","PA29",36,"A",35.84802,0.623540978,"R","dark","PA29_D",2,2,"C"
"286","PA31",36,"A",35.75974,0.680807387,"R","dark","PA31_D",2,2,"C"
"287","PA32",36,"A",35.72574,0.915283811,"R","dark","PA32_D",2,2,"C"
"288","PA35",36,"A",36.0999,0.552748601,"R","dark","PA35_D",2,2,"C"
"289","PA19",37,"B",36.81607018,0.452354477,"R","dark","PA19_D",2,2,"D"
"290","PA20",37,"B",37.01477193,0.503552034,"R","dark","PA20_D",2,2,"D"
"291","PA23",37,"B",37.01189474,0.457801748,"R","dark","PA23_D",2,2,"D"
"292","PA25",37,"B",36.977,0.488272789,"R","dark","PA25_D",2,2,"D"
"293","PA29",37,"A",37.01515789,0.556894776,"R","dark","PA29_D",2,2,"C"
"294","PA31",37,"A",36.76726316,0.490372112,"R","dark","PA31_D",2,2,"C"
"295","PA32",37,"A",36.90392982,0.709785393,"R","dark","PA32_D",2,2,"C"
"296","PA35",37,"A",37.06145614,0.473286067,"R","dark","PA35_D",2,2,"C"
"297","PA19",38,"B",37.96961404,0.422796737,"R","dark","PA19_D",2,2,"D"
"298","PA20",38,"B",38.12521053,0.476292187,"R","dark","PA20_D",2,2,"D"
"299","PA23",38,"B",38.1765,0.440430807,"R","dark","PA23_D",2,2,"D"
"300","PA25",38,"B",38.12761404,0.420007204,"R","dark","PA25_D",2,2,"D"
"301","PA29",38,"A",38.11964912,0.490287252,"R","dark","PA29_D",2,2,"C"
"302","PA31",38,"A",37.96280702,0.484809146,"R","dark","PA31_D",2,2,"C"
"303","PA32",38,"A",38.1342807,0.658190997,"R","dark","PA32_D",2,2,"C"
"304","PA35",38,"A",38.20936842,0.465396892,"R","dark","PA35_D",2,2,"C"
"305","PA19",39,"B",38.93455102,0.366746298,"R","dark","PA19_D",2,2,"D"
"306","PA20",39,"B",39.03267347,0.434759874,"R","dark","PA20_D",2,2,"D"
"307","PA23",39,"B",39.06142857,0.402239588,"R","dark","PA23_D",2,2,"D"
"308","PA25",39,"B",39.06714286,0.405015608,"R","dark","PA25_D",2,2,"D"
"309","PA29",39,"A",39.02561224,0.40518298,"R","dark","PA29_D",2,2,"C"
"310","PA31",39,"A",38.82412245,0.471916852,"R","dark","PA31_D",2,2,"C"
"311","PA32",39,"A",38.9957551,0.638085518,"R","dark","PA32_D",2,2,"C"
"312","PA35",39,"A",39.06853061,0.453799907,"R","dark","PA35_D",2,2,"C"
"313","PA19",40,"B",40.03804167,0.34803219,"R","dark","PA19_D",2,2,"D"
"314","PA20",40,"B",40.1696875,0.420405508,"R","dark","PA20_D",2,2,"D"
"315","PA23",40,"B",40.19183333,0.391150607,"R","dark","PA23_D",2,2,"D"
"316","PA25",40,"B",40.15775,0.407789323,"R","dark","PA25_D",2,2,"D"
"317","PA29",40,"A",40.15747917,0.3658877,"R","dark","PA29_D",2,2,"C"
