fragment.ID.full,fragment.ID,species,genotype,chamber.channel,run,temp.Cat,start.time,stop.time,light_dark
PA10_PI_139_O2,PA10,P. acuta,10,2,139,26.8,5:48:00 PM,6:04:00 PM,light
PA13_PI_139_O2,PA13,P. acuta,13,3,139,26.8,5:48:00 PM,6:04:00 PM,light
PA14_PI_139_O2,PA14,P. acuta,14,8,139,26.8,5:48:00 PM,6:04:00 PM,light
PA17_PI_139_O2,PA17,P. acuta,17,9,139,26.8,5:48:00 PM,6:04:00 PM,light
BLANK1_PI_139_O2,BLANK1,P. acuta,BLANK,6,139,26.8,5:48:00 PM,6:04:00 PM,light
PA0_PI_218_O2,PA0,P. acuta,0,10,218,26.8,6:12:00 PM,6:30:00 PM,light
PA2_PI_218_O2,PA2,P. acuta,2,5,218,26.8,6:12:00 PM,6:30:00 PM,light
PA3_PI_218_O2,PA3,P. acuta,3,4,218,26.8,6:12:00 PM,6:30:00 PM,light
PA8_PI_218_O2,PA8,P. acuta,8,7,218,26.8,6:12:00 PM,6:30:00 PM,light
PA10_PI_218_O2,PA10,P. acuta,10,2,218,26.8,6:12:00 PM,6:30:00 PM,light
PA13_PI_218_O2,PA13,P. acuta,13,3,218,26.8,6:12:00 PM,6:30:00 PM,light
PA14_PI_218_O2,PA14,P. acuta,14,8,218,26.8,6:12:00 PM,6:30:00 PM,light
PA17_PI_218_O2,PA17,P. acuta,17,9,218,26.8,6:12:00 PM,6:30:00 PM,light
BLANK1_PI_218_O2,BLANK1,P. acuta,BLANK,6,218,26.8,6:12:00 PM,6:30:00 PM,light
PA0_PI_350_O2,PA0,P. acuta,0,10,350,26.8,6:36:00 PM,6:48:00 PM,light
PA2_PI_350_O2,PA2,P. acuta,2,5,350,26.8,6:36:00 PM,6:48:00 PM,light
PA3_PI_350_O2,PA3,P. acuta,3,4,350,26.8,6:36:00 PM,6:48:00 PM,light
PA8_PI_350_O2,PA8,P. acuta,8,7,350,26.8,6:36:00 PM,6:48:00 PM,light
PA10_PI_350_O2,PA10,P. acuta,10,2,350,26.8,6:36:00 PM,6:48:00 PM,light
PA13_PI_350_O2,PA13,P. acuta,13,3,350,26.8,6:36:00 PM,6:48:00 PM,light
PA14_PI_350_O2,PA14,P. acuta,14,8,350,26.8,6:36:00 PM,6:48:00 PM,light
PA17_PI_350_O2,PA17,P. acuta,17,9,350,26.8,6:36:00 PM,6:48:00 PM,light
BLANK1_PI_350_O2,BLANK1,P. acuta,BLANK,6,350,26.8,6:36:00 PM,6:48:00 PM,light
PA0_PI_536_O2,PA0,P. acuta,0,10,536,26.8,6:57:00 PM,7:13:00 PM,light
PA2_PI_536_O2,PA2,P. acuta,2,5,536,26.8,6:57:00 PM,7:13:00 PM,light
PA3_PI_536_O2,PA3,P. acuta,3,4,536,26.8,6:57:00 PM,7:13:00 PM,light
PA8_PI_536_O2,PA8,P. acuta,8,7,536,26.8,6:57:00 PM,7:13:00 PM,light
PA10_PI_536_O2,PA10,P. acuta,10,2,536,26.8,6:57:00 PM,7:13:00 PM,light
PA13_PI_536_O2,PA13,P. acuta,13,3,536,26.8,6:57:00 PM,7:13:00 PM,light
PA14_PI_536_O2,PA14,P. acuta,14,8,536,26.8,6:57:00 PM,7:13:00 PM,light
PA17_PI_536_O2,PA17,P. acuta,17,9,536,26.8,6:57:00 PM,7:13:00 PM,light
BLANK1_PI_536_O2,BLANK1,P. acuta,BLANK,6,536,26.8,6:57:00 PM,7:13:00 PM,light
PA0_PI_726_O2,PA0,P. acuta,0,10,726,26.8,7:20:00 PM,7:38:00 PM,light
PA2_PI_726_O2,PA2,P. acuta,2,5,726,26.8,7:20:00 PM,7:38:00 PM,light
PA3_PI_726_O2,PA3,P. acuta,3,4,726,26.8,7:20:00 PM,7:38:00 PM,light
PA8_PI_726_O2,PA8,P. acuta,8,7,726,26.8,7:20:00 PM,7:38:00 PM,light
PA10_PI_726_O2,PA10,P. acuta,10,2,726,26.8,7:20:00 PM,7:38:00 PM,light
PA13_PI_726_O2,PA13,P. acuta,13,3,726,26.8,7:20:00 PM,7:38:00 PM,light
PA14_PI_726_O2,PA14,P. acuta,14,8,726,26.8,7:20:00 PM,7:38:00 PM,light
PA17_PI_726_O2,PA17,P. acuta,17,9,726,26.8,7:20:00 PM,7:38:00 PM,light
BLANK1_PI_726_O2,BLANK1,P. acuta,BLANK,6,726,26.8,7:20:00 PM,7:38:00 PM,light
PA0_PI_910_O2,PA0,P. acuta,0,10,910,26.8,7:41:00 PM,7:58:00 PM,light
PA2_PI_910_O2,PA2,P. acuta,2,5,910,26.8,7:41:00 PM,7:58:00 PM,light
PA3_PI_910_O2,PA3,P. acuta,3,4,910,26.8,7:41:00 PM,7:58:00 PM,light
PA8_PI_910_O2,PA8,P. acuta,8,7,910,26.8,7:41:00 PM,7:58:00 PM,light
PA10_PI_910_O2,PA10,P. acuta,10,2,910,26.8,7:41:00 PM,7:58:00 PM,light
PA13_PI_910_O2,PA13,P. acuta,13,3,910,26.8,7:41:00 PM,7:58:00 PM,light
PA14_PI_910_O2,PA14,P. acuta,14,8,910,26.8,7:41:00 PM,7:58:00 PM,light
PA17_PI_910_O2,PA17,P. acuta,17,9,910,26.8,7:41:00 PM,7:58:00 PM,light
BLANK1_PI_910_O2,BLANK1,P. acuta,BLANK,6,910,26.8,7:41:00 PM,7:58:00 PM,light
