"","fragment.ID.full","Intercept","umol.L.sec","Temp.C","Light_Dark","fragment.ID","species","genotype","chamber.channel","run","temp.Cat","start.time","stop.time","light_dark","treatment","surf.area.cm2","volume","umol.sec","BLANK","blank.rate","umol.sec.corr","umol.cm2.hr","Rate.ln"
"38","PA48_PI_349_O2",190.349383333333,0.0179499999999999,26.91,NA,"PA48","P. acuta","30",6,349,26.8,2020-06-25 02:32:00,2020-06-25 02:48:00,"light","high",68.7,0.625,0.0112187499999999,"0",-0.000551571428571845,0.0117703214285718,0.616785402370574,-0.332978782525195
"39","PA53_PI_349_O2",211.01795,0.01905,26.9418333333333,NA,"PA53","P. acuta","33",1,349,26.8,2020-06-25 02:32:00,2020-06-25 02:48:00,"light","high",52.7,0.63,0.0120015,"0",-0.000551571428571845,0.0125530714285719,0.857515315803771,-0.0434135624377496
"40","PA54_PI_349_O2",131.91482,0.0163800000000005,26.9003333333333,NA,"PA54","P. acuta","34",10,349,26.8,2020-06-25 02:32:00,2020-06-25 02:48:00,"light","high",78.6,0.615,0.0100737000000003,"0",-0.000551571428571845,0.0106252714285721,0.486653653217044,-0.533320661880476
"43","PA39_PI_526_O2",201.262485,0.024515,27.03,NA,"PA39","P. acuta","20",2,526,26.8,2020-06-25 02:57:00,2020-06-25 03:12:00,"light","low",86.8,0.625,0.015321875,"0",-0.000179214285714345,0.0155010892857143,0.642902320605663,-0.29719070911723
"44","PA40_PI_526_O2",229.031895238095,0.0354857142857131,27.07,NA,"PA40","P. acuta","23",4,526,26.8,2020-06-25 02:57:00,2020-06-25 03:12:00,"light","low",78.9,0.62,0.0220011428571421,"0",-0.000179214285714345,0.0221803571428565,1.01203150461703,0.106188526917193
"45","PA43_PI_526_O2",240.084987142857,0.0384414285714285,26.9775,NA,"PA43","P. acuta","24",5,526,26.8,2020-06-25 02:57:00,2020-06-25 03:12:00,"light","low",77.1,0.62,0.0238336857142857,"0",-0.000179214285714345,0.0240129,1.12122490272374,0.199854373681593
"46","PA45_PI_526_O2",225.1194,0.0322000000000004,27.055,NA,"PA45","P. acuta","25",8,526,26.8,2020-06-25 02:57:00,2020-06-25 03:12:00,"light","low",66.4,0.63,0.0202860000000003,"0",-0.000179214285714345,0.0204652142857146,1.10955981067127,0.190256500586326
"47","PA47_PI_526_O2",173.97211,0.02409,26.8821666666667,NA,"PA47","P. acuta","29",9,526,26.8,2020-06-25 02:57:00,2020-06-25 03:12:00,"light","high",71.2,0.625,0.01505625,"0",-0.000179214285714345,0.0152354642857143,0.770332463884432,-0.138879997935417
"48","PA48_PI_526_O2",223.006302857143,0.0232685714285705,27.0451666666667,NA,"PA48","P. acuta","30",6,526,26.8,2020-06-25 02:57:00,2020-06-25 03:12:00,"light","high",68.7,0.625,0.0145428571428566,"0",-0.000179214285714345,0.0147220714285709,0.771462258265726,-0.137582721596969
"49","PA53_PI_526_O2",246.206917142857,0.0255114285714284,27.0606666666667,NA,"PA53","P. acuta","33",1,526,26.8,2020-06-25 02:57:00,2020-06-25 03:12:00,"light","high",52.7,0.63,0.0160721999999999,"0",-0.000179214285714345,0.0162514142857142,1.11015353754405,0.190747242090996
"50","PA54_PI_526_O2",170.109495,0.0285050000000005,27.019,NA,"PA54","P. acuta","34",10,526,26.8,2020-06-25 02:57:00,2020-06-25 03:12:00,"light","high",78.6,0.615,0.0175305750000003,"0",-0.000179214285714345,0.0177097892857146,0.811135387131969,-0.0930637790078319
"53","PA39_PI_65.9_O2",147.941431428571,-0.00614571428571427,26.721,NA,"PA39","P. acuta","20",2,65.9,26.8,2020-06-25 12:56:00,2020-06-25 01:06:00,"light","low",86.8,0.625,-0.00384107142857142,"0",-0.000901642857143304,-0.00293942857142811,-0.121911784068447,NA
"54","PA40_PI_65.9_O2",123.8779,-0.00649999999999992,26.725,NA,"PA40","P. acuta","23",4,65.9,26.8,2020-06-25 12:56:00,2020-06-25 01:06:00,"light","low",78.9,0.62,-0.00402999999999995,"0",-0.000901642857143304,-0.00312835714285664,-0.142738728951634,NA
"55","PA43_PI_65.9_O2",129.685515,-0.007015,26.606,NA,"PA43","P. acuta","24",5,65.9,26.8,2020-06-25 12:56:00,2020-06-25 01:06:00,"light","low",77.1,0.62,-0.0043493,"0",-0.000901642857143304,-0.0034476571428567,-0.160980100055566,NA
"56","PA45_PI_65.9_O2",142.007485,-0.00578499999999986,26.729,NA,"PA45","P. acuta","25",8,65.9,26.8,2020-06-25 12:56:00,2020-06-25 01:06:00,"light","low",66.4,0.63,-0.00364454999999991,"0",-0.000901642857143304,-0.00274290714285661,-0.148711833046443,NA
"57","PA47_PI_65.9_O2",139.388015,-0.012515,26.568,NA,"PA47","P. acuta","29",9,65.9,26.8,2020-06-25 12:56:00,2020-06-25 01:06:00,"light","high",71.2,0.625,-0.00782187499999997,"0",-0.000901642857143304,-0.00692023214285667,-0.349899378009607,NA
"58","PA48_PI_65.9_O2",141.955205,-0.00170499999999944,26.706,NA,"PA48","P. acuta","30",6,65.9,26.8,2020-06-25 12:56:00,2020-06-25 01:06:00,"light","high",68.7,0.625,-0.00106562499999965,"0",-0.000901642857143304,-0.000163982142856346,-0.00859295071736312,-2.39243267786546
"59","PA53_PI_65.9_O2",164.983222380952,-0.00241285714285784,26.758,NA,"PA53","P. acuta","33",1,65.9,26.8,2020-06-25 12:56:00,2020-06-25 01:06:00,"light","high",52.7,0.63,-0.00152010000000044,"0",-0.000901642857143304,-0.000618457142857134,-0.0422475467606391,-2.85158945014724
"60","PA54_PI_65.9_O2",120.936826666667,-0.0101600000000004,26.7023333333333,NA,"PA54","P. acuta","34",10,65.9,26.8,2020-06-25 12:56:00,2020-06-25 01:06:00,"light","high",78.6,0.615,-0.00624840000000022,"0",-0.000901642857143304,-0.00534675714285692,-0.244889640130851,NA
"63","PA39_PI_716_O2",259.24729,0.0287099999999988,27.2341666666667,NA,"PA39","P. acuta","20",2,716,26.8,2020-06-25 03:30:00,2020-06-25 03:45:00,"light","low",86.8,0.625,0.0179437499999993,"0",-0.000514428571428991,0.0184581785714283,0.765546576695181,-0.144394091030265
"64","PA40_PI_716_O2",306.640655,0.0387450000000004,27.294,NA,"PA40","P. acuta","23",4,716,26.8,2020-06-25 03:30:00,2020-06-25 03:45:00,"light","low",78.9,0.62,0.0240219000000003,"0",-0.000514428571428991,0.0245363285714293,1.11952829983708,0.198464144503044
"65","PA43_PI_716_O2",321.395887619048,0.0373028571428564,27.211,NA,"PA43","P. acuta","24",5,716,26.8,2020-06-25 03:30:00,2020-06-25 03:45:00,"light","low",77.1,0.62,0.023127771428571,"0",-0.000514428571428991,0.0236422,1.10391595330739,0.185579538226965
"66","PA45_PI_716_O2",297.130265,0.0361350000000008,27.2651666666667,NA,"PA45","P. acuta","25",8,716,26.8,2020-06-25 03:30:00,2020-06-25 03:45:00,"light","low",66.4,0.63,0.0227650500000005,"0",-0.000514428571428991,0.0232794785714295,1.26214040447509,0.309057289400341
"67","PA47_PI_716_O2",229.739248571429,0.030465714285714,27.088,NA,"PA47","P. acuta","29",9,716,26.8,2020-06-25 03:30:00,2020-06-25 03:45:00,"light","high",71.2,0.625,0.0190410714285713,"0",-0.000514428571428991,0.0195555000000002,0.988761235955068,0.0850405691819037
"68","PA48_PI_716_O2",272.646130952381,0.0253928571428557,27.263,NA,"PA48","P. acuta","30",6,716,26.8,2020-06-25 03:30:00,2020-06-25 03:45:00,"light","high",68.7,0.625,0.0158705357142848,"0",-0.000514428571428991,0.0163849642857138,0.858600748596357,-0.0422806113301874
"69","PA53_PI_716_O2",302.087590476191,0.0281714285714271,27.267,NA,"PA53","P. acuta","33",1,716,26.8,2020-06-25 03:30:00,2020-06-25 03:45:00,"light","high",52.7,0.63,0.0177479999999991,"0",-0.000514428571428991,0.0182624285714281,1.24752832745998,0.298272045813804
"70","PA54_PI_716_O2",239.120845,0.038154999999999,27.228,NA,"PA54","P. acuta","34",10,716,26.8,2020-06-25 03:30:00,2020-06-25 03:45:00,"light","high",78.6,0.615,0.0234653249999994,"0",-0.000514428571428991,0.0239797535714284,1.09830932388222,0.180911666600886
"73","PA39_PI_80_O2",140.605955,-0.00585500000000009,26.737,NA,"PA39","P. acuta","20",2,80,26.8,2020-06-25 01:13:00,2020-06-25 01:30:00,"light","low",86.8,0.625,-0.00365937500000006,"0",-0.000939482142857279,-0.00271989285714278,-0.112806616194862,NA
"74","PA40_PI_80_O2",118.87592,-0.00352000000000031,26.75,NA,"PA40","P. acuta","23",4,80,26.8,2020-06-25 01:13:00,2020-06-25 01:30:00,"light","low",78.9,0.62,-0.00218240000000019,"0",-0.000939482142857279,-0.00124291785714291,-0.0567110809342773,-3.13985858744677
"75","PA43_PI_80_O2",122.7938,-0.00419999999999973,26.6323333333333,NA,"PA43","P. acuta","24",5,80,26.8,2020-06-25 01:13:00,2020-06-25 01:30:00,"light","low",77.1,0.62,-0.00260399999999983,"0",-0.000939482142857279,-0.00166451785714255,-0.077720678154516,-3.8040963022012
"76","PA45_PI_80_O2",135.68339,-0.00399000000000063,26.753,NA,"PA45","P. acuta","25",8,80,26.8,2020-06-25 01:13:00,2020-06-25 01:30:00,"light","low",66.4,0.63,-0.0025137000000004,"0",-0.000939482142857279,-0.00157421785714312,-0.0853491609294461,-4.22325767071864
"77","PA47_PI_80_O2",126.83925,-0.00784999999999968,26.587,NA,"PA47","P. acuta","29",9,80,26.8,2020-06-25 01:13:00,2020-06-25 01:30:00,"light","high",71.2,0.625,-0.0049062499999998,"0",-0.000939482142857279,-0.00396676785714252,-0.200566914125184,NA
"78","PA48_PI_80_O2",141.80179,0.000409999999999815,26.726,NA,"PA48","P. acuta","30",6,80,26.8,2020-06-25 01:13:00,2020-06-25 01:30:00,"light","high",68.7,0.625,0.000256249999999884,"0",-0.000939482142857279,0.00119573214285716,0.062658452900812,-1.81610265753421
"79","PA53_PI_80_O2",163.580061904762,-0.00101428571428619,26.776,NA,"PA53","P. acuta","33",1,80,26.8,2020-06-25 01:13:00,2020-06-25 01:30:00,"light","high",52.7,0.63,-0.000639000000000302,"0",-0.000939482142857279,0.000300482142856977,0.0205262943887119,-2.11588733916121
"80","PA54_PI_80_O2",107.997508571429,-0.00879428571428604,26.721,NA,"PA54","P. acuta","34",10,80,26.8,2020-06-25 01:13:00,2020-06-25 01:30:00,"light","high",78.6,0.615,-0.00540848571428591,"0",-0.000939482142857279,-0.00446900357142863,-0.204687186477647,NA
"83","PA39_PI_918_O2",308.501249047619,0.0312271428571424,27.182,NA,"PA39","P. acuta","20",2,918,26.8,2020-06-25 03:55:00,2020-06-25 04:10:00,"light","low",86.8,0.625,0.019516964285714,"0",-0.000418785714285716,0.0199357499999997,0.826828341013813,-0.075986907463519
"84","PA40_PI_918_O2",349.97235,0.0162499999999985,27.259,NA,"PA40","P. acuta","23",4,918,26.8,2020-06-25 03:55:00,2020-06-25 04:10:00,"light","low",78.9,0.62,0.010074999999999,"0",-0.000418785714285716,0.0104937857142848,0.478803910917936,-0.546791527305798
"85","PA43_PI_918_O2",371.595665,0.0262350000000012,27.202,NA,"PA43","P. acuta","24",5,918,26.8,2020-06-25 03:55:00,2020-06-25 04:10:00,"light","low",77.1,0.62,0.0162657000000007,"0",-0.000418785714285716,0.0166844857142864,0.779042134519211,-0.128922447839176
"86","PA45_PI_918_O2",355.941717142857,0.0327114285714285,27.2405,NA,"PA45","P. acuta","25",8,918,26.8,2020-06-25 03:55:00,2020-06-25 04:10:00,"light","low",66.4,0.63,0.0206082,"0",-0.000418785714285716,0.0210269857142857,1.14001729776248,0.215125329328096
"87","PA47_PI_918_O2",279.892933333333,0.0343999999999987,27.059,NA,"PA47","P. acuta","29",9,918,26.8,2020-06-25 03:55:00,2020-06-25 04:10:00,"light","high",71.2,0.625,0.0214999999999992,"0",-0.000418785714285716,0.0219187857142849,1.10825321027283,0.189175688700281
"88","PA48_PI_918_O2",308.57263,0.0191699999999995,27.239,NA,"PA48","P. acuta","30",6,918,26.8,2020-06-25 03:55:00,2020-06-25 04:10:00,"light","high",68.7,0.625,0.0119812499999997,"0",-0.000418785714285716,0.0124000357142854,0.649783530879584,-0.287970739606023
"89","PA53_PI_918_O2",342.269635,0.0193650000000011,27.219,NA,"PA53","P. acuta","33",1,918,26.8,2020-06-25 03:55:00,2020-06-25 04:10:00,"light","high",52.7,0.63,0.0121999500000007,"0",-0.000418785714285716,0.0126187357142864,0.862000921659032,-0.0387398702513677
"90","PA54_PI_918_O2",300.605385238095,0.0419957142857145,27.193,NA,"PA54","P. acuta","34",10,918,26.8,2020-06-25 03:55:00,2020-06-25 04:10:00,"light","high",78.6,0.615,0.0258273642857144,"0",-0.000418785714285716,0.0262461500000002,1.20211374045802,0.263988898233557
