fragment.ID.full,fragment.ID,species,genotype,chamber.channel,run,temp.Cat,start.time,stop.time,light_dark
PA29_PI_76_O2,PA29,P. acuta,29,3,76,26.8,2:02:00 PM,2:20:00 PM,light
PA30_PI_76_O2,PA30,P. acuta,30,6,76,26.8,2:02:00 PM,2:20:00 PM,light
PA33_PI_76_O2,PA33,P. acuta,33,4,76,26.8,2:02:00 PM,2:20:00 PM,light
PA34_PI_76_O2,PA34,P. acuta,34,5,76,26.8,2:02:00 PM,2:20:00 PM,light
BLANK1_PI_76_O2,BLANK1,P. acuta,BLANK,10,76,26.8,2:02:00 PM,2:20:00 PM,light
BLANK2_PI_76_O2,BLANK2,P. acuta,BLANK,8,76,26.8,2:02:00 PM,2:20:00 PM,light
PA20_PI_134_O2,PA20,P. acuta,20,7,134,26.8,2:28:00 PM,2:44:00 PM,light
PA23_PI_134_O2,PA23,P. acuta,23,2,134,26.8,2:28:00 PM,2:44:00 PM,light
PA24_PI_134_O2,PA24,P. acuta,24,1,134,26.8,2:28:00 PM,2:44:00 PM,light
PA25_PI_134_O2,PA25,P. acuta,25,9,134,26.8,2:28:00 PM,2:44:00 PM,light
PA29_PI_134_O2,PA29,P. acuta,29,3,134,26.8,2:28:00 PM,2:44:00 PM,light
PA30_PI_134_O2,PA30,P. acuta,30,6,134,26.8,2:28:00 PM,2:44:00 PM,light
PA33_PI_134_O2,PA33,P. acuta,33,4,134,26.8,2:28:00 PM,2:44:00 PM,light
PA34_PI_134_O2,PA34,P. acuta,34,5,134,26.8,2:28:00 PM,2:44:00 PM,light
BLANK1_PI_134_O2,BLANK1,P. acuta,BLANK,10,134,26.8,2:28:00 PM,2:44:00 PM,light
BLANK2_PI_134_O2,BLANK2,P. acuta,BLANK,8,134,26.8,2:28:00 PM,2:44:00 PM,light
PA20_PI_217_O2,PA20,P. acuta,20,7,217,26.8,2:56:00 PM,3:13:00 PM,light
PA23_PI_217_O2,PA23,P. acuta,23,2,217,26.8,2:56:00 PM,3:13:00 PM,light
PA24_PI_217_O2,PA24,P. acuta,24,1,217,26.8,2:56:00 PM,3:13:00 PM,light
PA25_PI_217_O2,PA25,P. acuta,25,9,217,26.8,2:56:00 PM,3:13:00 PM,light
PA29_PI_217_O2,PA29,P. acuta,29,3,217,26.8,2:56:00 PM,3:13:00 PM,light
PA30_PI_217_O2,PA30,P. acuta,30,6,217,26.8,2:56:00 PM,3:13:00 PM,light
PA33_PI_217_O2,PA33,P. acuta,33,4,217,26.8,2:56:00 PM,3:13:00 PM,light
PA34_PI_217_O2,PA34,P. acuta,34,5,217,26.8,2:56:00 PM,3:13:00 PM,light
BLANK1_PI_217_O2,BLANK1,P. acuta,BLANK,10,217,26.8,2:56:00 PM,3:13:00 PM,light
BLANK2_PI_217_O2,BLANK2,P. acuta,BLANK,8,217,26.8,2:56:00 PM,3:13:00 PM,light
PA20_PI_347_O2,PA20,P. acuta,20,7,347,26.8,3:23:00 PM,3:40:00 PM,light
PA23_PI_347_O2,PA23,P. acuta,23,2,347,26.8,3:23:00 PM,3:40:00 PM,light
PA24_PI_347_O2,PA24,P. acuta,24,1,347,26.8,3:23:00 PM,3:40:00 PM,light
PA25_PI_347_O2,PA25,P. acuta,25,9,347,26.8,3:23:00 PM,3:40:00 PM,light
PA29_PI_347_O2,PA29,P. acuta,29,3,347,26.8,3:23:00 PM,3:40:00 PM,light
PA30_PI_347_O2,PA30,P. acuta,30,6,347,26.8,3:23:00 PM,3:40:00 PM,light
PA33_PI_347_O2,PA33,P. acuta,33,4,347,26.8,3:23:00 PM,3:40:00 PM,light
PA34_PI_347_O2,PA34,P. acuta,34,5,347,26.8,3:23:00 PM,3:40:00 PM,light
BLANK1_PI_347_O2,BLANK1,P. acuta,BLANK,10,347,26.8,3:23:00 PM,3:40:00 PM,light
BLANK2_PI_347_O2,BLANK2,P. acuta,BLANK,8,347,26.8,3:23:00 PM,3:40:00 PM,light
PA20_PI_520_O2,PA20,P. acuta,20,7,520,26.8,3:50:00 PM,4:07:00 PM,light
PA23_PI_520_O2,PA23,P. acuta,23,2,520,26.8,3:50:00 PM,4:07:00 PM,light
PA24_PI_520_O2,PA24,P. acuta,24,1,520,26.8,3:50:00 PM,4:07:00 PM,light
PA25_PI_520_O2,PA25,P. acuta,25,9,520,26.8,3:50:00 PM,4:07:00 PM,light
PA29_PI_520_O2,PA29,P. acuta,29,3,520,26.8,3:50:00 PM,4:07:00 PM,light
PA30_PI_520_O2,PA30,P. acuta,30,6,520,26.8,3:50:00 PM,4:07:00 PM,light
PA33_PI_520_O2,PA33,P. acuta,33,4,520,26.8,3:50:00 PM,4:07:00 PM,light
PA34_PI_520_O2,PA34,P. acuta,34,5,520,26.8,3:50:00 PM,4:07:00 PM,light
BLANK1_PI_520_O2,BLANK1,P. acuta,BLANK,10,520,26.8,3:50:00 PM,4:07:00 PM,light
BLANK2_PI_520_O2,BLANK2,P. acuta,BLANK,8,520,26.8,3:50:00 PM,4:07:00 PM,light
PA20_PI_742_O2,PA20,P. acuta,20,7,742,26.8,4:22:00 PM,4:38:00 PM,light
PA23_PI_742_O2,PA23,P. acuta,23,2,742,26.8,4:22:00 PM,4:38:00 PM,light
PA24_PI_742_O2,PA24,P. acuta,24,1,742,26.8,4:22:00 PM,4:38:00 PM,light
PA25_PI_742_O2,PA25,P. acuta,25,9,742,26.8,4:22:00 PM,4:38:00 PM,light
PA29_PI_742_O2,PA29,P. acuta,29,3,742,26.8,4:22:00 PM,4:38:00 PM,light
PA30_PI_742_O2,PA30,P. acuta,30,6,742,26.8,4:22:00 PM,4:38:00 PM,light
PA33_PI_742_O2,PA33,P. acuta,33,4,742,26.8,4:22:00 PM,4:38:00 PM,light
PA34_PI_742_O2,PA34,P. acuta,34,5,742,26.8,4:22:00 PM,4:38:00 PM,light
BLANK1_PI_742_O2,BLANK1,P. acuta,BLANK,10,742,26.8,4:22:00 PM,4:38:00 PM,light
BLANK2_PI_742_O2,BLANK2,P. acuta,BLANK,8,742,26.8,4:22:00 PM,4:38:00 PM,light
PA23_PI_888_O2,PA23,P. acuta,23,2,888,26.8,5:35:00 PM,5:50:00 PM,light
PA25_PI_888_O2,PA25,P. acuta,25,9,888,26.8,5:35:00 PM,5:50:00 PM,light
PA33_PI_888_O2,PA33,P. acuta,33,4,888,26.8,5:35:00 PM,5:50:00 PM,light
PA34_PI_888_O2,PA34,P. acuta,34,5,888,26.8,5:35:00 PM,5:50:00 PM,light
BLANK1_PI_888_O2,BLANK1,P. acuta,BLANK,10,888,26.8,5:35:00 PM,5:50:00 PM,light
BLANK2_PI_888_O2,BLANK2,P. acuta,BLANK,8,888,26.8,5:35:00 PM,5:50:00 PM,light
